Type,Server,Category,Name,Description,Status,Path,Created,LastUpdated
Command,coderef-personas,Personas,/coderef-docs-agent,Activate docs specialist,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-docs-agent.md,,
Command,coderef-personas,Personas,/coderef-mcp-lead,Activate MCP lead,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-mcp-lead.md,,
Command,coderef-personas,Personas,/coderef-personas-agent,Activate personas specialist,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-personas-agent.md,,
Command,coderef-personas,Personas,/coderef-testing-agent,Activate testing specialist,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-testing-agent.md,,
Command,coderef-personas,Personas,/lloyd,Activate Lloyd (general purpose),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\lloyd.md,,
Command,coderef-personas,Personas,/marcus,Activate Marcus (code architect),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\marcus.md,,
Command,coderef-personas,Personas,/quinn,Activate Quinn (testing specialist),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\quinn.md,,
Command,coderef-personas,Personas,/research-scout,Activate Research Scout,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\research-scout.md,,
Command,coderef-personas,Personas,/taylor,Activate Taylor (general purpose),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\taylor.md,,
Command,coderef-testing,Testing,/compare-runs,Compare test runs,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\compare-runs.md,,
Command,coderef-testing,Testing,/detect-flaky,Detect flaky tests,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\detect-flaky.md,,
Command,coderef-testing,Testing,/discover-tests,Discover tests,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\discover-tests.md,,
Command,coderef-testing,Testing,/list-frameworks,List test frameworks,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\list-frameworks.md,,
Command,coderef-testing,Testing,/run-by-pattern,Run tests by pattern,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\run-by-pattern.md,,
Command,coderef-testing,Testing,/run-parallel,Run tests in parallel,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\run-parallel.md,,
Command,coderef-testing,Testing,/run-test-file,Run specific test file,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\run-test-file.md,,
Command,coderef-testing,Testing,/run-tests,Run all tests,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\run-tests.md,,
Command,coderef-testing,Testing,/test-coverage,Analyze test coverage,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-coverage.md,,
Command,coderef-testing,Testing,/test-health,Check test health,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-health.md,,
Command,coderef-testing,Testing,/test-performance,Analyze test performance,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-performance.md,,
Command,coderef-testing,Testing,/test-report,Generate test report,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-report.md,,
Command,coderef-testing,Testing,/test-results,Get test results,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-results.md,,
Command,coderef-testing,Testing,/test-trends,Analyze test trends,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-trends.md,,
Command,coderef-testing,Testing,/testing-proof,Generate testing proof,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\testing-proof.md,,
Command,coderef-workflow,Workflow,/aggregate-agent-deliverables,Aggregate agent deliverables,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\aggregate-agent-deliverables.md,,
Command,coderef-workflow,Workflow,/align-plan,Align plan with todos,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\align-plan.md,,
Command,coderef-workflow,Workflow,/analyze-for-planning,Analyze project for planning,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\analyze-for-planning.md,,
Command,coderef-workflow,Workflow,/archive-feature,Archive completed feature,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\archive-feature.md,,
Command,coderef-workflow,Workflow,/assign-agent-task,Assign task to agent,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\assign-agent-task.md,,
Command,coderef-workflow,Workflow,/audit-plans,Audit all plans,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\audit-plans.md,,
Command,coderef-workflow,Workflow,/coderef-foundation-docs,Generate foundation docs,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\coderef-foundation-docs.md,,
Command,coderef-workflow,Workflow,/complete-workorder,Complete workorder,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\complete-workorder.md,,
Command,coderef-workflow,Workflow,/create-plan,Create implementation plan,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\create-plan.md,,
Command,coderef-workflow,Workflow,/create-session,Create multi-agent session with real-time file tracking and git verification,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\create-session.md,,
Command,coderef-workflow,Workflow,/create-workorder,Create new workorder,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\create-workorder.md,,
Command,coderef-workflow,Workflow,/features-inventory,Generate features inventory,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\features-inventory.md,,
Command,coderef-workflow,Workflow,/gather-context,Gather feature context,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\gather-context.md,,
Command,coderef-workflow,Workflow,/generate-agent-communication,Generate agent communication file,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\generate-agent-communication.md,,
Command,coderef-workflow,Workflow,/generate-deliverables,Generate deliverables template,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\generate-deliverables.md,,
Command,coderef-workflow,Workflow,/generate-handoff-context,Generate handoff context,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\generate-handoff-context.md,,
Command,coderef-workflow,Workflow,/generate-plan-review,Generate plan review report,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\generate-plan-review.md,,
Command,coderef-workflow,Workflow,/get-planning-template,Get planning template,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\get-planning-template.md,,
Command,coderef-workflow,Workflow,/get-workorder-log,Query workorder log,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\get-workorder-log.md,,
Command,coderef-workflow,Workflow,/git-release,Create git release,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\git-release.md,,
Command,coderef-workflow,Workflow,/log-workorder,Log workorder entry,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\log-workorder.md,,
Command,coderef-workflow,Workflow,/stub,Create feature stub,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\stub.md,,
Command,coderef-workflow,Workflow,/track-agent-status,Track agent status,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\track-agent-status.md,,
Command,coderef-workflow,Workflow,/update-deliverables,Update deliverables with metrics,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\update-deliverables.md,,
Command,coderef-workflow,Workflow,/update-task-status,Update task status,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\update-task-status.md,,
Command,coderef-workflow,Workflow,/validate-plan,Validate implementation plan,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\validate-plan.md,,
Command,coderef-workflow,Workflow,/verify-agent-completion,Verify agent completion,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\verify-agent-completion.md,,
Output,System,Data Format,CSV,Tabular data format,active,.csv,,
Output,System,Data Format,JSON,Structured data format (index.json plan.json communication.json),active,.json,,
Output,System,Documentation,Markdown,Human-readable documentation (README.md ARCHITECTURE.md API.md),active,.md,,
Output,coderef-context,Visualization,DOT,Graphviz graph format,active,.dot,,
Output,coderef-context,Visualization,Mermaid,Dependency graph diagrams (flowchart sequence class),active,.mmd,,
Output,coderef-dashboard,Web,HTML,Dashboard UI (index.html workorders dashboard),active,.html,,
ResourceSheet,documentation,API,File Api Route,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\api\File-Api-Route-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Analysis,Electron IPC Analysis,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\analysis\Electron-IPC-Analysis-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Analysis,Notifications UX Review,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\analysis\Notifications-UX-Review-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,Assistant Page,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Assistant-Page-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,CodeRef Explorer Widget,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\CodeRef-Explorer-Widget-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,FileTree,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\FileTree-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,FileViewer,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\FileViewer-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-14T23:55:34-05:00
ResourceSheet,documentation,Component,Notepad Clone,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Notepad-Clone-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,Notes Widget Text Editing,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Notes-Widget-Text-Editing-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,OutputViewer,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\OutputViewer-RESOURCE-SHEET.md,2026-01-14T23:55:34-05:00,2026-01-14T23:55:34-05:00
ResourceSheet,documentation,Component,ProjectSelector,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\ProjectSelector-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T17:05:42-05:00
ResourceSheet,documentation,Component,Projects Context,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Projects-Context-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T17:04:12-05:00
ResourceSheet,documentation,Component,Right Click Context Menu,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Right-Click-Context-Menu-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,Settings ProjectsPanel,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Settings-ProjectsPanel-RESOURCE-SHEET.md,2026-01-13T17:04:12-05:00,2026-01-13T17:04:12-05:00
ResourceSheet,documentation,General,CodeRef Core Scanner,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\Coderef-Core-Scanner-RESOURCE-SHEET.md,2026-01-13T19:57:53-05:00,2026-01-13T19:57:53-05:00
ResourceSheet,documentation,General,DOCUMENT REPORTS,**Generated:** 2026-01-03,active,C:\Users\willh\.mcp-servers\coderef-workflow\coderef\DOCUMENT-REPORTS-RESOURCE-SHEET.md,2026-01-04T22:57:12-05:00,2026-01-04T22:57:12-05:00
ResourceSheet,documentation,General,Electron Wrapper,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\integration\Electron-Wrapper-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,General,Hybrid Router,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\middleware\Hybrid-Router-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,General,Index,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\Index-RESOURCE-SHEET.md,2026-01-12T13:52:33-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,General,Notes System,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\Notes-System-RESOURCE-SHEET.md,2026-01-14T16:12:34-05:00,2026-01-14T16:12:34-05:00
ResourceSheet,documentation,General,Unified Storage Architecture,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\Unified-Storage-RESOURCE-SHEET.md,2026-01-13T18:00:01-05:00,2026-01-13T18:00:01-05:00
ResourceSheet,documentation,General,Validate Stubs,agent: claude-sonnet-4.5,active,C:\Users\willh\Desktop\assistant\coderef\archived\Validate-Stubs-RESOURCE-SHEET.md,2026-01-15T00:04:41-05:00,2026-01-15T00:04:41-05:00
ResourceSheet,documentation,System,Prompting Workflow,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Prompting-Workflow-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,System,Prompting Workflow Briefing,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Prompting-Workflow-Briefing-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,System,Prompting Workflow UserFlow,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Prompting-Workflow-UserFlow-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,System,Sessions Hub System,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Sessions-Hub-System-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-17T13:14:51-05:00
ResourceSheet,documentation,System,Stubs System,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Stubs-System-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,System,Widget System,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Widget-System-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,System,Workorders System,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Workorders-System-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
Schema,papertrail,Documentation,base-frontmatter-schema.json,Universal Documentation Standards (UDS) base schema - required fields for ALL markdown documents in CodeRef ecosystem,active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\base-frontmatter-schema.json,2026-01-10T02:45:59-05:00,2026-01-10T02:45:59-05:00
Schema,papertrail,Documentation,foundation-doc-frontmatter-schema.json,"Validates YAML front matter for foundation docs (README, ARCHITECTURE, API, SCHEMA, COMPONENTS) generated by coderef-docs. Extends base-frontmatter-schema.json with workorder tracking and doc_type fields.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\foundation-doc-frontmatter-schema.json,2026-01-10T03:19:32-05:00,2026-01-13T00:27:49-05:00
Schema,papertrail,Documentation,infrastructure-doc-frontmatter-schema.json,"Validates YAML front matter for infrastructure documentation (deployment guides, CI/CD, monitoring, configuration). Infrastructure docs describe system setup, deployment, and operations.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\infrastructure-doc-frontmatter-schema.json,2026-01-10T05:04:16-05:00,2026-01-10T05:04:16-05:00
Schema,papertrail,Documentation,migration-doc-frontmatter-schema.json,"Validates YAML front matter for migration documentation (migration guides, deprecation notices, upgrade paths). Migration docs describe how to transition from old to new systems.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\migration-doc-frontmatter-schema.json,2026-01-10T05:04:16-05:00,2026-01-10T05:04:16-05:00
Schema,papertrail,Documentation,resource-sheet-metadata-schema.json,Validates YAML front matter in resource/reference sheets for UDS and RSMS compliance,active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\resource-sheet-metadata-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Documentation,script-frontmatter-schema.json,Validates YAML frontmatter in script and test files for triangular bidirectional references,active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\script-frontmatter-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Documentation,session-doc-frontmatter-schema.json,"Validates YAML front matter for session documentation (communication.json, instructions.json, session summaries). Session docs coordinate multi-agent work.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\session-doc-frontmatter-schema.json,2026-01-10T05:04:16-05:00,2026-01-10T05:04:16-05:00
Schema,papertrail,Documentation,standards-doc-frontmatter-schema.json,"Validates YAML front matter for standards documentation (global-documentation-standards.md, resource-sheet-standards.md, etc.). Standards docs define policies, conventions, and enforcement rules.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\standards-doc-frontmatter-schema.json,2026-01-10T04:52:04-05:00,2026-01-13T01:35:42-05:00
Schema,papertrail,Documentation,system-doc-frontmatter-schema.json,"Validates YAML front matter for system documentation (CLAUDE.md, SESSION-INDEX.md, etc.). System docs describe codebase architecture, session management, and project history.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\system-doc-frontmatter-schema.json,2026-01-10T04:52:04-05:00,2026-01-10T04:52:04-05:00
Schema,papertrail,Documentation,user-facing-doc-frontmatter-schema.json,"Validates YAML front matter for user-facing documentation (guides, tutorials, FAQs in coderef/user/). User docs are allowed to contain emojis per EMOJI-TIMESTAMP-POLICY.md.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\user-facing-doc-frontmatter-schema.json,2026-01-10T05:04:16-05:00,2026-01-13T01:35:42-05:00
Schema,papertrail,Documentation,workorder-doc-frontmatter-schema.json,Validates YAML front matter for workorder docs generated by coderef-workflow,active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\workorder-doc-frontmatter-schema.json,2026-01-10T03:54:52-05:00,2026-01-10T03:54:52-05:00
Schema,papertrail,Mcp,error-responses-schema.json,JSON Schema definitions for error response factory - consistent error formatting across all MCP tools,active,C:\Users\willh\.mcp-servers\papertrail\schemas\mcp\error-responses-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Mcp,mcp-client-schema.json,Type definitions and validation contracts for MCP inter-server communication client,active,C:\Users\willh\.mcp-servers\papertrail\schemas\mcp\mcp-client-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Mcp,server-schema.json,Type definitions and validation contracts for coderef-workflow MCP server,active,C:\Users\willh\.mcp-servers\papertrail\schemas\mcp\server-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Mcp,tool-handlers-schema.json,Type definitions and validation contracts for coderef-workflow MCP tool handlers,active,C:\Users\willh\.mcp-servers\papertrail\schemas\mcp\tool-handlers-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Mcp,type-defs-schema.json,JSON Schema definitions for all 71 TypedDicts in type_defs.py - the canonical type system for coderef-workflow MCP server,active,C:\Users\willh\.mcp-servers\papertrail\schemas\mcp\type-defs-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Planning,constants-schema.json,"JSON Schema definitions for centralized constants - paths, files, enums, and validation rules",active,C:\Users\willh\.mcp-servers\papertrail\schemas\planning\constants-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Planning,plan-validator-schema.json,Type definitions and validation contracts for PlanValidator class,active,C:\Users\willh\.mcp-servers\papertrail\schemas\planning\plan-validator-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Planning,planning-analyzer-schema.json,Type definitions and validation contracts for PlanningAnalyzer class,active,C:\Users\willh\.mcp-servers\papertrail\schemas\planning\planning-analyzer-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Planning,planning-generator-schema.json,Type definitions and validation contracts for PlanningGenerator class,active,C:\Users\willh\.mcp-servers\papertrail\schemas\planning\planning-generator-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Schemas,stub-schema.json,Canonical schema for stub.json files across orchestrator and dashboard,active,C:\Users\willh\.mcp-servers\papertrail\schemas\stub-schema.json,2026-01-13T00:05:22-05:00,2026-01-13T01:35:42-05:00
Schema,papertrail,Security,validation-schema.json,JSON Schema definitions for validation functions - security boundary for all tool inputs,active,C:\Users\willh\.mcp-servers\papertrail\schemas\security\validation-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Sessions,agent-communication-schema.json,Agent-specific task tracking within a session subdirectory. Used in hierarchical multi-agent sessions where each agent has their own workspace.,active,C:\Users\willh\.mcp-servers\papertrail\schemas\sessions\agent-communication-schema.json,2026-01-15T13:10:30-05:00,2026-01-15T13:31:48-05:00
Schema,papertrail,Sessions,agent-instructions-schema.json,"Detailed execution steps for agent within session subdirectory. Provides step-by-step guidance, task specifications, and context templates for autonomous agent execution.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\sessions\agent-instructions-schema.json,2026-01-15T13:15:49-05:00,2026-01-15T13:31:48-05:00
Schema,papertrail,Sessions,communication-schema.json,"Agent roster and status tracking for multi-agent sessions in the CodeRef ecosystem. Supports 1-N agents (flexible agent count, not fixed roster). Optional phase tracking for multi-phase sessions.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\sessions\communication-schema.json,2026-01-10T04:35:21-05:00,2026-01-15T13:46:58-05:00
Schema,papertrail,Workflow,analysis-json-schema.json,Schema for project analysis files generated by coderef-workflow analyze_project_for_planning. Contains structured analysis data for planning decisions.,active,C:\Users\willh\.mcp-servers\papertrail\schemas\workflow\analysis-json-schema.json,2026-01-10T15:06:39-05:00,2026-01-10T15:06:39-05:00
Schema,papertrail,Workflow,execution-log-json-schema.json,Schema for task execution logs generated by coderef-workflow. Tracks task progress for plan.json tasks with workorder traceability.,active,C:\Users\willh\.mcp-servers\papertrail\schemas\workflow\execution-log-json-schema.json,2026-01-10T14:58:28-05:00,2026-01-10T14:58:28-05:00
Script,Orchestrator,Generators,create-coderef-structure.py,!/usr/bin/env python3,active,C:\Users\willh\Desktop\assistant\scripts\create-coderef-structure.py,2026-01-03T06:47:27-05:00,2026-01-03T06:47:27-05:00
Script,Orchestrator,Utilities,remove-emojis.py,!/usr/bin/env python3,active,C:\Users\willh\Desktop\assistant\scripts\remove-emojis.py,2026-01-03T06:47:27-05:00,2026-01-03T06:47:27-05:00
Script,System,Exporters,diagram-generator.py,!/usr/bin/env python3,active,C:\Users\willh\Desktop\projects\coderef-system\scripts\diagram-generator.py,2025-12-31T15:28:01.479418,2025-12-31T15:28:01.479418
Script,System,Generators,generate-coderef-directories.py,!/usr/bin/env python3,active,C:\Users\willh\Desktop\projects\coderef-system\scripts\generate-coderef-directories.py,2026-01-04T17:34:20.598974,2026-01-04T17:34:20.598974
