Type,Server,Category,Name,Description,Status,Path
Tool,coderef-workflow,Archival & Inventory,archive_feature,Archive completed features,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Archival & Inventory,audit_plans,Audit all plans,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Archival & Inventory,log_workorder,Log workorder entry,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Archival & Inventory,get_workorder_log,Query workorder log,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Advanced Tools,generate_handoff_context,Generate agent handoff,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Advanced Tools,assess_risk,AI-powered risk assessment,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Advanced Tools,coderef_foundation_docs,Unified foundation docs,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Advanced Tools,generate_features_inventory,Generate features inventory,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Advanced Tools,update_all_documentation,Agentic doc updates,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-docs,Documentation Generation,list_templates,List documentation templates,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,get_template,Retrieve template content,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,generate_foundation_docs,Generate foundation docs,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,generate_individual_doc,Generate single doc with UDS,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,add_changelog_entry,Add changelog entry,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,record_changes,Smart changelog recording,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,generate_quickref_interactive,Generate quickref,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,generate_resource_sheet,Generate resource sheets,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,establish_standards,Discover patterns,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,audit_codebase,Audit violations,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,check_consistency,Consistency checking,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,validate_document,UDS validation,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-docs,Documentation Generation,check_document_health,Health score calculation,active,C:\Users\willh\.mcp-servers\coderef-docs\src\coderef_docs\server.py
Tool,coderef-personas,Persona Management,use_persona,Activate expert persona,active,C:\Users\willh\.mcp-servers\coderef-personas\src\coderef_personas\server.py
Tool,coderef-personas,Persona Management,get_active_persona,Get current persona info,active,C:\Users\willh\.mcp-servers\coderef-personas\src\coderef_personas\server.py
Tool,coderef-personas,Persona Management,clear_persona,Deactivate persona,active,C:\Users\willh\.mcp-servers\coderef-personas\src\coderef_personas\server.py
Tool,coderef-personas,Persona Management,list_personas,List all personas,active,C:\Users\willh\.mcp-servers\coderef-personas\src\coderef_personas\server.py
Tool,coderef-personas,Persona Management,generate_todo_list,Convert plan to TodoWrite,active,C:\Users\willh\.mcp-servers\coderef-personas\src\coderef_personas\server.py
Tool,coderef-personas,Persona Management,track_plan_execution,Sync plan with todos,active,C:\Users\willh\.mcp-servers\coderef-personas\src\coderef_personas\server.py
Tool,coderef-personas,Persona Management,execute_plan_interactive,Execute plan guided,active,C:\Users\willh\.mcp-servers\coderef-personas\src\coderef_personas\server.py
Tool,coderef-personas,Persona Management,create_custom_persona,Create custom persona,active,C:\Users\willh\.mcp-servers\coderef-personas\src\coderef_personas\server.py
Tool,coderef-testing,Discovery,discover_tests,Find all tests,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Discovery,list_test_frameworks,List frameworks,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Execution,run_all_tests,Execute entire suite,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Execution,run_test_file,Run specific file,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Execution,run_test_category,Run by pattern,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Execution,run_tests_in_parallel,Parallel execution,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Management,get_test_results,Retrieve results,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Management,aggregate_results,Aggregate runs,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Management,generate_test_report,Generate reports,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Management,compare_test_runs,Compare runs,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Analysis,analyze_coverage,Coverage analysis,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Analysis,detect_flaky_tests,Find flaky tests,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Analysis,analyze_test_performance,Performance analysis,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,coderef-testing,Analysis,validate_test_health,Health check,active,C:\Users\willh\.mcp-servers\coderef-testing\src\coderef_testing\server.py
Tool,papertrail,UDS Validation,validate_resource_sheet,Validate resource sheet,active,C:\Users\willh\.mcp-servers\papertrail\src\papertrail\server.py
Tool,papertrail,UDS Validation,check_all_resource_sheets,Validate all sheets,active,C:\Users\willh\.mcp-servers\papertrail\src\papertrail\server.py
Tool,papertrail,UDS Validation,validate_document,Validate any document,active,C:\Users\willh\.mcp-servers\papertrail\src\papertrail\server.py
Tool,papertrail,UDS Validation,check_all_docs,Validate all docs,active,C:\Users\willh\.mcp-servers\papertrail\src\papertrail\server.py
Command,coderef-workflow,Workflow,/aggregate-agent-deliverables,Aggregate agent deliverables,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\aggregate-agent-deliverables.md
Command,coderef-workflow,Workflow,/align-plan,Align plan with todos,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\align-plan.md
Command,coderef-workflow,Workflow,/analyze-for-planning,Analyze project for planning,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\analyze-for-planning.md
Command,coderef-workflow,Workflow,/archive-feature,Archive completed feature,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\archive-feature.md
Command,coderef-workflow,Workflow,/assign-agent-task,Assign task to agent,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\assign-agent-task.md
Command,coderef-workflow,Workflow,/audit-plans,Audit all plans,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\audit-plans.md
Command,coderef-workflow,Workflow,/coderef-foundation-docs,Generate foundation docs,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\coderef-foundation-docs.md
Command,coderef-workflow,Workflow,/complete-workorder,Complete workorder,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\complete-workorder.md
Command,coderef-workflow,Workflow,/create-plan,Create implementation plan,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\create-plan.md
Command,coderef-workflow,Workflow,/create-session,Create multi-agent session,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\create-session.md
Command,coderef-workflow,Workflow,/create-workorder,Create new workorder,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\create-workorder.md
Command,coderef-workflow,Workflow,/features-inventory,Generate features inventory,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\features-inventory.md
Command,coderef-workflow,Workflow,/gather-context,Gather feature context,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\gather-context.md
Command,coderef-workflow,Workflow,/generate-agent-communication,Generate agent communication file,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\generate-agent-communication.md
Command,coderef-workflow,Workflow,/generate-deliverables,Generate deliverables template,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\generate-deliverables.md
Command,coderef-workflow,Workflow,/generate-handoff-context,Generate handoff context,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\generate-handoff-context.md
Command,coderef-workflow,Workflow,/generate-plan-review,Generate plan review report,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\generate-plan-review.md
Command,coderef-workflow,Workflow,/get-planning-template,Get planning template,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\get-planning-template.md
Command,coderef-workflow,Workflow,/get-workorder-log,Query workorder log,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\get-workorder-log.md
Command,coderef-workflow,Workflow,/git-release,Create git release,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\git-release.md
Command,coderef-workflow,Workflow,/log-workorder,Log workorder entry,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\log-workorder.md
Command,coderef-workflow,Workflow,/stub,Create feature stub,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\stub.md
Command,coderef-workflow,Workflow,/track-agent-status,Track agent status,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\track-agent-status.md
Command,coderef-workflow,Workflow,/update-deliverables,Update deliverables with metrics,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\update-deliverables.md
Command,coderef-workflow,Workflow,/update-task-status,Update task status,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\update-task-status.md
Command,coderef-workflow,Workflow,/validate-plan,Validate implementation plan,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\validate-plan.md
Command,coderef-workflow,Workflow,/verify-agent-completion,Verify agent completion,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\verify-agent-completion.md
Command,coderef-docs,Documentation,/audit-codebase,Audit codebase for violations,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\audit-codebase.md
Command,coderef-docs,Documentation,/check-consistency,Check consistency against standards,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\check-consistency.md
Command,coderef-docs,Documentation,/create-resource-sheet,Create resource sheet,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\create-resource-sheet.md
Command,coderef-docs,Documentation,/establish-standards,Establish project standards,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\establish-standards.md
Command,coderef-docs,Documentation,/generate-docs,Generate documentation,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\generate-docs.md
Command,coderef-docs,Documentation,/generate-user-docs,Generate user documentation,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\generate-user-docs.md
Command,coderef-docs,Documentation,/get-template,Get documentation template,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\get-template.md
Command,coderef-docs,Documentation,/list-templates,List all templates,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\list-templates.md
Command,coderef-docs,Documentation,/record-changes,Record changelog changes,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\record-changes.md
Command,coderef-docs,Documentation,/resource-sheet-catalog,Show resource sheet catalog,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\resource-sheet-catalog.md
Command,coderef-docs,Documentation,/update-docs,Update documentation,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\update-docs.md
Command,coderef-docs,Documentation,/update-foundation-docs,Update foundation docs,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\update-foundation-docs.md
Command,coderef-personas,Personas,/ava,Activate Ava (frontend specialist),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\ava.md
Command,coderef-personas,Personas,/coderef-assistant,Activate CodeRef Assistant (orchestrator),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-assistant.md
Command,coderef-personas,Personas,/coderef-context-agent,Activate context specialist,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-context-agent.md
Command,coderef-personas,Personas,/coderef-docs-agent,Activate docs specialist,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-docs-agent.md
Command,coderef-personas,Personas,/coderef-mcp-lead,Activate MCP lead,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-mcp-lead.md
Command,coderef-personas,Personas,/coderef-personas-agent,Activate personas specialist,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-personas-agent.md
Command,coderef-personas,Personas,/coderef-testing-agent,Activate testing specialist,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-testing-agent.md
Command,coderef-personas,Personas,/lloyd,Activate Lloyd (general purpose),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\lloyd.md
Command,coderef-personas,Personas,/marcus,Activate Marcus (code architect),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\marcus.md
Command,coderef-personas,Personas,/quinn,Activate Quinn (testing specialist),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\quinn.md
Command,coderef-personas,Personas,/research-scout,Activate Research Scout,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\research-scout.md
Command,coderef-personas,Personas,/taylor,Activate Taylor (general purpose),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\taylor.md
Command,coderef-personas,Management,/create-persona,Create custom persona,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\create-persona.md
Command,coderef-personas,Management,/debug-ui,Debug UI issues,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\debug-ui.md
Command,coderef-personas,Management,/fix,Quick fixes,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\fix.md
Command,coderef-personas,Management,/use-persona,Use specific persona,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\use-persona.md
Command,coderef-testing,Testing,/compare-runs,Compare test runs,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\compare-runs.md
Command,coderef-testing,Testing,/detect-flaky,Detect flaky tests,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\detect-flaky.md
Command,coderef-testing,Testing,/discover-tests,Discover tests,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\discover-tests.md
Command,coderef-testing,Testing,/list-frameworks,List test frameworks,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\list-frameworks.md
Command,coderef-testing,Testing,/run-by-pattern,Run tests by pattern,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\run-by-pattern.md
Command,coderef-testing,Testing,/run-parallel,Run tests in parallel,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\run-parallel.md
Command,coderef-testing,Testing,/run-test-file,Run specific test file,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\run-test-file.md
Command,coderef-testing,Testing,/run-tests,Run all tests,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\run-tests.md
Command,coderef-testing,Testing,/test-coverage,Analyze test coverage,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-coverage.md
Command,coderef-testing,Testing,/test-health,Check test health,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-health.md
Command,coderef-testing,Testing,/testing-proof,Generate testing proof,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\testing-proof.md
Command,coderef-testing,Testing,/test-performance,Analyze test performance,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-performance.md
Command,coderef-testing,Testing,/test-report,Generate test report,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-report.md
Command,coderef-testing,Testing,/test-results,Get test results,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-results.md
Command,coderef-testing,Testing,/test-trends,Analyze test trends,active,C:\Users\willh\.mcp-servers\coderef-testing\.claude\commands\test-trends.md
Command,assistant,Utility,/archive-file,Archive files by project,active,C:\Users\willh\Desktop\assistant\.claude\commands\archive-file.md
Command,coderef-dashboard,Utility,/widget-architect,Widget architecture tool,active,C:\Users\willh\Desktop\coderef-dashboard\.claude\commands\widget-architect.md
